"Rhizobium.esperanzae.SEMIA.4051..GCF_014194485.1.","Rhizobium.esperanzae.SEMIA.4055..GCF_014194495.1."
"Rhizobium esperanzae SEMIA 4051 (GCF_014194485.1)",1,0.976493323379589
"Rhizobium esperanzae SEMIA 4055 (GCF_014194495.1)",0.975840450891297,1
"Rhizobium.esperanzae.SEMIA.4051..GCF_014194485.1.","Rhizobium.esperanzae.SEMIA.4053..GCF_014194525.1."
"Rhizobium esperanzae SEMIA 4051 (GCF_014194485.1)",1,0.999927028939918
"Rhizobium esperanzae SEMIA 4053 (GCF_014194525.1)",0.999325380025126,1
"Rhizobium.esperanzae.SEMIA.4051..GCF_014194485.1.","Rhizobium.esperanzae.SEMIA.4055..GCF_014194495.1."
"Rhizobium esperanzae SEMIA 4051 (GCF_014194485.1)",1,0.976493323379589
"Rhizobium esperanzae SEMIA 4055 (GCF_014194495.1)",0.975840450891297,1
"Rhizobium.esperanzae.SEMIA.4051..GCF_014194485.1.","Rhizobium.esperanzae.SEMIA.4053..GCF_014194525.1."
"Rhizobium esperanzae SEMIA 4051 (GCF_014194485.1)",1,0.999927028939918
"Rhizobium esperanzae SEMIA 4053 (GCF_014194525.1)",0.999325380025126,1
